title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Личный водитель,,Астана,BUSINESS SOLUTIONS «GARANT» LIMITED,31-05-2024,"Водительское удостоверение категории В. Отличное знание города. Стрессоустойчивость, вежливость. Стаж работы водителем у руководства более 3 лет.","Обеспечение безопасного, комфортного и профессионального вождения Руководителя. Выполнение поручений руководства, личных поручений. Содержание автомобиля в чистом и в технически исправном...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100778888
Водитель персональный,200000 - 250000 KZT,Уральск,ЗАМАЛЮТДИНОВ Р.Ю.,05-06-2024,"Если Вы пунктуальный, вежливый, трудолюбивый и ответственный.",Обслуживание торжественных мероприятий. Наводить порядок в боксе и машинах. Обслуживание.,"{'id': 'flexible', 'name': 'Гибкий график'}",Более 6 лет,Частичная занятость,https://hh.ru/vacancy/101297863
Водитель,250000 - 300000 KZT,Астана,Айртас,30-05-2024,Ответственность.,,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100677504
Личный водитель,250000 - 300000 KZT,Караганда,ЛАЗУРИТ8,30-05-2024,Стрессоустойчивость. Опрятность. Мобильность.,"Выполнять поручения, касаемые перевозки руководителя и членов его семьи. Содержать в чистоте и своевременно заправлять автомобиль руководителя.","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100717933
"Требуются водители, категорий прав ВС",400000 - 600000 KZT,Астана,Шин-Лайн,05-06-2024,"Обязательно иметь банковскую карту: (Halyk Bank или Kaspi Bank, ForteBank).","Управление автомобилем. Своевременное прибытие на рабочее место и подача автомобиля к подъезду организации, а также постановка автомобиля в гараж после...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101322637
Персональный водитель руководителя,300000 - 350000 KZT,Алматы,Гулденустрой,05-06-2024,Готовность к выполнению дополнительных поручений работодателя. Требования: Опыт вождения автомобилей премиум класса не менее 5 лет. Отличное знание дорожного движения...,"Обеспечение безопасности и комфорта пассажиров во время поездок. Поддержание чистоты и порядка в автомобиле. Осуществление технического обслуживания автомобиля, включая заправку...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/101348644
Водитель,450000 - 800000 KZT,Павлодар,ГЕЛИОН МВ,31-05-2024,"Водитель на евро фуру, DAF105. Опыт работы. На Европу. Карта водителя, удостоверение КазАто. Требования: Опыт работы в международных перевозках...",,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100784302
Водитель Генерального директора,,Астана,Eurasia Group Kazakhstan,05-06-2024,"Наличие водительских прав, стаж вождения. Стрессоустойчивость. Ответственность.","Корректное профессиональное вождение автомобиля. Следить за техническим состоянием автомобиля, чистотой.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101316715
"Водитель категории В ,С",270000 - 270000 KZT,Алматы,NURMAX-K,05-06-2024,"Пунктуальность. Водительские права категории В,С (обязательно!). Своевременность. Ответственность. Аккуратность при вождении, внимательность.","Получать в подразделениях компании задания по доставке товара. Выполнять поручения в указанные сроки, докладывать о выполнении либо о причинах, препятствующих...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101346678
Персональный Водитель,,Алматы,Altyn Bank,04-06-2024,Опыт вождения не менее 5ти лет. Опыт работы у первых руководителей компаний. Знание города. Опыт вождения автотранспорта представительского класса. ,Безопасное управление автотранспортом. Знание и соблюдение ППД. Поддержание чистоты автомобиля. Контроль за исправностью автомобиля и своевременного обслуживания. Своевременная подача автомобиля. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101224678
Семейный водитель,,Астана,Батыр,20-05-2024,"Водительские права категории В, личный автомобиль.","Встреча, проводы аэропорт. Развозка детей. Выполнения поручении руководства.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/98672060
Водитель (с личным автомобилем),300000 - 400000 KZT,Астана,Абсолют,03-06-2024,"В рекламно-производственную компанию с опытом работы 20 лет, требуется водитель с личным легковым авто. Требования: Высокие коммуникативные навыки. ",,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101063759
Водитель со своим автомобилем,300000 - 600000 KZT,Павлодар,BARYS COMPANY,30-05-2024,,В компанию на постоянную работу требуются водители с собственным авто. График работы 5/2 Выезды в нерабочее время и выходные...,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/100724195
Личный водитель / помощник первого руководителя,,Алматы,"ГОЛД ПРОДУКТ, АО",05-06-2024,Не использовать авто в личных целях. Опыт работы личным водителем не менее 3-ех лет. Знание и соблюдение правил дорожного...,Подача автомобиля в назначенное время и место. Обеспечение безопасного передвижения. Прохождение тех. обслуживания и осмотров. Поддержание автомобиля в исправном и...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101340649
Личный водитель руководителя,,Алматы,BI Development Almaty,04-06-2024,"Энергичный, стрессоустойчивый, ответственный, аккуратный, опрятный. Опыт работы личным водителем, рекомендации с предыдущих мест работы. Готовность к ненормированному графику. ","Выполнять функцию водителя руководителя, а также его семьи. Вождение автомобиля представительского класса. Выполнение поручений руководителя, решение административно-хозяйственных вопросов. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101274365
Водитель,350000 KZT,Усть-Каменогорск,Продбаза Иртыш,29-05-2024,Права категории С. Отличное знание города. Опыт работы от 3 лет. Следить за техническим состоянием автомобиля.,Доставка товара по городу и ВКО. Проверка автомобиля перед началом рабочего дня и поддержание тех. состояния.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100595860
Водитель,,Алматы,Kcell,03-06-2024,Наличие водительских прав категории B. Наличие личного автотранспорта. Непрерывный стаж работы в качестве водителя автомобиля не менее 3-х лет. ,"Обеспечивать корректное и профессиональное вождение автомобиля. Не оставлять автомобиль без присмотра за пределами видимости на любой минимальный срок, дающий шанс...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101161148
Водитель с собственным автомобилем,,Алматы,Artetra,04-06-2024,"Пунктуальность. Аккуратное и адекватное вождение. Хорошее знание города. Воспитанность, коммуникабельность. Собственное легковое авто в рабочем, опрятном состоянии.","Разъезды по офисным поручениям, доставка документации. Разъезды по личным поручениям первого руководителя. Перевозка сотрудников в пункты назначения. Встреча и проводы...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101218945
Водитель развозки,270000 - 300000 KZT,Астана,PET,05-06-2024,Опыт вождения нен менее 10 лет. Права кат D.,"Развозка персонала (на работу, с работы).","{'id': 'shift', 'name': 'Сменный график'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101311929
Водитель (развозка сотрудников),,Алматы,Комбитехноцентр,03-06-2024,"Личное авто, не менее 7 мест.","Утром отвезти сотрудников, вечером забрать.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101090107
Персональный водитель руководителя,400000 - 400000 KZT,Астана,Almaty Rent,05-06-2024,Опыт работы персональным водителем не менее 3 лет. Отличное знание города и его окрестностей. Безупречные навыки вождения и чистая водительская...,"Перевозка руководителя на работу, встречи и другие мероприятия. Планирование маршрутов и учет дорожных условий. Обеспечение технического обслуживания автомобиля. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100036046
Водитель скорой медицинской помощи,,Алматы,Архимедес Казахстан,05-06-2024,Среднее (полное) общее образование. Право на управление автомобилем категории «Д». Стаж работы не менее 10 лет.,"Знать ПДД и устройство транспортных средств. Осуществлять надлежащее управление автотранспорта при вызовах, отнесенных к одной из категорий ""Д"". ","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/101344075
Охранник-водитель,300000 - 500000 KZT,Алматы,Nur Oil Treid (Нур Ойл Трейд),28-05-2024,"Образование кандидата не ниже среднего, стаж вождения не менее 6-ти лет, права категории ""В"".","Управление автомобилем, бережное отношение к вверенному автомобилю. Выполнение распоряжений и поручений непосредственного руководителя. Развозка сотрудников. Своевременное прибытие на рабочее место...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100503494
Водитель,180000 - 210000 KZT,Шымкент,Шарипов,04-06-2024,Пунктуальность. Ответственность. Бережное отношение в технике.,Выполнение доставок на грузовой машине (5тонн). Уход за машиной.,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/101217246
Водитель (с личным авто),500000 - 500000 KZT,Астана,Центр электронных финансов,31-05-2024,Водительский опыт. Знание города.,,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100795768
Водитель-дальнобойщик,400000 - 500000 KZT,Алматы,Центр Правильного Сна,04-06-2024,Категория С Е. Техническая грамотность.,По полученным заявкам перевозить грузы по Казахстану и СНГ. Мобильность и отчётность перед руководством. Своевременное уведомление о неполадках транспорта и...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101212728
Водитель на личном автомобиле,,Астана,"Тануки, Японский ресторан",04-06-2024,"Можно без опыта. Аккуратность, внимательность, ответственность, исполнительность.","Качественная доставка еды по району, прилегающему к ресторану. Прием оплаты заказа.","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/101278509
"Водитель категории B,C,E",400000 - 450000 KZT,Шымкент,ШеберСтрой,03-06-2024,,"Перевозка грузов. Заправка автомобиля ГСМ. Обеспечение сохранности транспорта и груза. Осуществление контроля над погрузкой, разгрузкой и креплением груза.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Частичная занятость,https://hh.ru/vacancy/101135551
Водитель на фуру,270000 KZT,Алматы,Онипченко И.В,29-05-2024,"С опытом работы, ответственный, с умением починить машину в рейсе.",Водитель на фуру. Рейсы Казахстан- Россия.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100575959
Водитель,,Алматы,WellDis,03-06-2024,Опыт вождения миниавтобуса. Ответственность. Аккуратноть. Готовность к командировкам.,2.1. Обеспечивает своевременную подачу автомобиля. 2.2. Обеспечивает технически исправное состояние закрепленного за водителем автомобиля. 2.3. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101055824
Водитель скорой помощи,,Алматы,"Международный Аэропорт Алматы, АО",03-06-2024,Иметь средне-специальное образование. Наличие действующих водительских прав категории В и С. Опыт работы не менее 5-ти лет по...,"Управление автомобилем скорой помощи и аварийным фургоном во время выездов по вызову. Обеспечение сохранности медицинской аппаратуры, установленной во вверенном автомобиле. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101136754
Личный водитель в семью,400000 KZT,Алматы,КОСАДЕЛ,03-06-2024,"Опыт работы водителем в СЕМЬЕ не менее 5-ти лет ОБЯЗАТЕЛЬНО; Без опыта не беспокоить! - Права категории В, С. - ","Выполнение задач по закупу. - Выполнять поручения руководителя. - Выезд по личным поручением руководителя(химчистка, супермаркет, магазины и тд.). - Своевременная отправка и...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99794392
Персональный водитель руководителя,320000 - 320000 KZT,Алматы,Zhersu corp,03-06-2024,"Порядочность, честность. Знание. Правил дорожного движения, штрафные санкции за их нарушение. Технические характеристики и общее устройство автомобиля. Показания приборов и...","Обеспечивать корректное, плавное, профессиональное вождение автомобиля, максимально обеспечивающее сохранность жизни и здоровья пассажиров и технически исправное состояние самого автомобиля. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101054815
Личный водитель,400000 KZT,Алматы,Санем Исаева,03-06-2024,Наличие водительских прав категории B. Знание правил дорожного движения и умение безопасно водить автомобиль. Отличные коммуникативные навыки и вежливое общение...,"Ваша задача будет обеспечивать безопасное и комфортное перемещение работодателя, обеспечивать высокий уровень сервиса и поддерживать автомобиль в чистоте и исправности. ","{'id': 'shift', 'name': 'Сменный график'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/100803501
Личный водитель,400000 - 500000 KZT,Алматы,Каз Строй Монолит,23-05-2024,"Наличие собственного автомобиля. АДРЕС ПОСЛЕЛОК КЫРГАУЫЛДЫ. Наличие собственного авто. Отличное знание города. Шустрость, исполнительность, ответственность. Что ты будешь делать ?",Возить семью по личным делам.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99928004
Ночной помощник водителя (без вождения),200000 - 220000 KZT,Астана,Jet Sharing,05-06-2024,хорошая ориентация по территории Астаны.,"перевозка электросамокатов в городе вместе с водителем, замена батарей. - контроль выставления корректных статусов во внутренней программе. - загрузка и выгрузка электросамокатов. - ","{'id': 'shift', 'name': 'Сменный график'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/101058318
Корпоративный водитель,,Алматы,MyCar Group,29-05-2024,"Водительское удостоверение Категории В. Знание ПДД, опыт вождения. Хорошее знание автомобильных дорог г. Алматы. Личный автомобиль.",Перевозка руководства компании. Выполнение личных поручений руководителя. Обеспечивать своевременную подачу автомобиля. Обеспечивать технически исправное состояние закрепленного автомобиля. Своевременно проходить техническое...,"{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100566454
Водитель на междугородние и международные перевозки,600000 KZT,Алматы,Veles Pet,05-06-2024,"Опыт с оборотом документации, знаниями законов по грузоперевозкам. Требования: Опыт работы с полупрцепам не менее 1 года.",Контроль за техническим состоянием транспрортного средства.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101321512
Водитель,400000 - 500000 KZT,Алматы,Qazaq Beton Group,09-05-2024,Водительский стаж. Знание города. Пунктуальность.,Вождение автобетоносмесителя. Выполнение плана. Уход за автотехникой.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98656876
Водитель,,Алматы,"АсауКом ,ТОО",28-05-2024,"Корректное плавное профессиональное вождение автомобиля. Отличное знание города. Ответственность, пунктуальность, порядочность, аккуратность. Опыт работы более 6-ти лет. ","Выполнение личных хозяйственных поручений. Содержание автомобиля в чистом, технически исправном состоянии (умение осуществлять мелкий ремонт автомобиля). Устройство автомобиля, показания приборов...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100452598
Водитель на cобственном автомобиле,300000 - 350000 KZT,Алматы,Ari Service,05-06-2024,"Опыт работы от 5 лет. Хорошее знание города. Опрятный внешний вид. Аккуратный, пунктуальный.","Развозка детей в школы, секции и обратно домой. Доставка товаров и документов клиентам компании. Забор товаров со складов поставщиков. ","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/101306931
Водитель,230000 KZT,Алматы,Ar line service,03-06-2024,"Не конфликтный, коммуникабельный, ответственный, чистоплотный. Знание ПДД, и города. Опыт работы вождения автобуса, микроавтобуса.","Развозка сотрудников. Соблюдение ПДД РК, осуществлять безаварийную эксплуатацию автомобиля. Выбирать оптимальный маршрут движения. Не допускать использование автомобиля в личных целях. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101060725
Водитель,260000 - 420000 KZT,Алматы,NAN,10-05-2024,"Опыт вождения от 4 лет. Наличие Kaspi Gold. Количество мест ограничено, начните зарабатывать прямо сейчас, минимальный пакет документов (удостоверение, водительские...",Наличие сот. Телефона с поддержкой 4G интернета.,"{'id': 'shift', 'name': 'Сменный график'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/96693465
Личный водитель,350000 - 400000 KZT,Алматы,Трансрейл,04-06-2024,,Развозка руководителя и других людей по его поручению. Контроль технического состояния автомобиля. Выполнение работ по обеспечению его безопасной эксплуатации; Прохождение...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99553204
Водитель,,Караганда,Ломбард Golden Capital-2007,05-06-2024,"Водительские права категории В, опыт вождения не менее 3х лет. Отличное знание города. Ответственность, пунктуальность.",Безопасное вождение служебного авто. Содержание служебного авто в технически исправном состоянии и чистоте.,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101317777
Личный водитель со своим авто,350000 KZT,Алматы,Ренессанс Риэлт Сервис,29-05-2024,"Наличие собственного автомобиля. Опыт работы водителем более 3х лет. Ответственность, пунктуальность, надежность, аккуратное вождение.","Работа с членами семьи первого руководителя. Поездки по поручениям членов семьи (аэропорт, встречи и т.д.). Соблюдение конфиденциальности. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100602800
Водитель оператор,200000 - 300000 KZT,Шымкент,Astana Tumar LTD,31-05-2024,Пунктуальный. Водитель.,"Бетоносмеситель водитель. Загрузка щебня, песка и цемента производится по принципу работы фронтального погрузчика ковшом. Кармикс водитель.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100796606
Водитель с личным автомобилем,300000 KZT,Актау,Stratum CER (СТРАТУМ КЭР),05-06-2024,"Опыт вождения автотранспорта не менее 6 лет. Не конфликтный, стрессоустойчивый.","Обеспечить корректное плавное профессиональное вождение автомобиля, максимально обеспечивающее сохранность жизни и здоровья пассажиров и технически исправное состояние самого автомобиля. ","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/101337073
Водитель-экспедитор,350000 - 400000 KZT,Астана,Анай,04-06-2024,Ответственный. Аккуратный. Опрятный внешний вид.,"Мебельный и сварочный цех QADAMLOFT. Сдавать заказы (доставка мебели) согласно графику сдачи заказов, работа на результат. Загрузка, доставка, выгрузка, помощь...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101251234
Водитель для Первого руководителя,,Алматы,Сайман Корпорация,03-06-2024,Исполнительность. Пунктуальность. Ответственность. Организованность обязательны! Желательно: место жительство микрорайоне Калкаман.,"В течении дня, поездки по городу. Исполнение поручении руководителя. Соблюдать требования по охране труда, ТБ, ПБ и обеспечению безопасности труда. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101056265
Ночной водитель с личным автомобилем,,Алматы,Панченко К.С.,23-05-2024,Личное авто (не купе/не коротыш). Знание города. Активная манера езды.,,"{'id': 'shift', 'name': 'Сменный график'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/99976966
Водитель,300000 - 450000 KZT,Кокшетау,Кокшетауавтодор,28-05-2024,Опыт работы с 1 года.,"Управлять грузовыми автомобилями Shacman-25,15 тонн. Выполнять производственные задания, установленные гл. инженером и гл. механиком, не допускать простоев, срывов.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100486432
Водитель с личным автомобилем,310000 - 310000 KZT,Караганда,Альянс Уголь,05-06-2024,"Вы можете откликаться, если у вас есть свое авто объем двигателя до 2-2,5 л. (седан или кроссовер). ","Выполнение служебных поручений руководства компании. Перевозка документов. Вождение автомобиля, максимально обеспечивающее сохранность жизни и здоровья пассажиров. Содержать двигатель, кузов и...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101334548
Медицинская сестра/медицинский брат (предрейсового осмотра водителей с.Казцик),,Алматы,"Радуга, ТОО (Компания Raduga KDR)",04-06-2024,Обязательно опыт работы в автопарках. Знание процедуры предрейсового осмотра водителей. Работа с алкотестером. Наличие медицинского образования и действующего медицинского сертификата...,Проведение предрейсовых осмотров водителей. Ведение и хранение медицинской документации.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Частичная занятость,https://hh.ru/vacancy/101210124
Водитель-Курьер на автотранспорт компании,250000 - 300000 KZT,Алматы,Logistic Point,05-06-2024,Права категории В. Опыт работы и вождения автомобилей категории В не менее 2х лет. Желателен опыт работы водителем-курьером. ,"Доставка пакетов с документацией до потребителя. Прием и отпуск документов, надлежащее оформление документов. Обеспечение сохранности вверенных документов. Выполнение прямых поручений...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101309158
Водитель-экспедитор (категория B),300000 - 300000 KZT,Алматы,RUBUS KAZAKHSTAN,03-06-2024,"Опыт работы вождения автомашины Газель. Знание города (желательно). Стрессоустойчивость, аккуратность, ответственность;честность, порядочность, исполнительность.","Забор товара со складов компании. Обеспечение сохранности товара во время транспортировки. Доставка товара по указанному в расходной накладной адресу, сдача...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101119648
Водитель,200000 - 300000 KZT,Тараз,SANDRA,14-05-2024,"В кондитерскую требуется водитель. Желателен опыт работы в продажах, регион - город. Водительские права кат В,С. Стаж вождения не менее...","Содержать машину в чистом виде. Следить за техническим состоянием машины. Помощь торговому представителю. Уметь водить грузовую машину (служебный спринтер, газель).","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/98937727
Водитель,300000 - 350000 KZT,Алматы,Матен Петролеум Трейдинг,27-05-2024,"Чистый , опрятный внешний вид. Безопасная эксплуатация автомобиля, поддержания чистоты кузова и салона , уход за транспортным средством, своевременный ремонт. ","С опытом вождения на авто бизнес класса. Отличное знание г. Алматы (все главные дороги, а также объездные пути). ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100396723
Водитель персональный,,Алматы,RG Brands Kazakhstan,29-05-2024,Опыт работы семейным водителем не менее 5 лет. Общий стаж вождения не менее 10 лет.,Обеспечение своевременного и безопасного передвижения руководителя и его семьи по г.Алматы и за пределами города. - заблаговременное планирование оптимального маршрута движения. - ,"{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100565551
Водитель-экспедитор с личным легковым автомобилем,345000 - 480000 KZT,Алматы,Автотрейд,05-06-2024,"Наличие собственного автомобиля (седан, универсал). Опыт работы на подобной должности. Знание города. Открытое ИП или готовность к открытию ИП в...","Доставка товара ""до двери"" (автозапчастей) по городу Алматы. Работа с документацией.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101326294
Водитель-экспедитор с личным автомобилем,364000 - 400000 KZT,Караганда,ШАТЕ-М ПЛЮС,03-06-2024,Личный автомобиль. Хорошее знание города. Грамотная речь. Опыт работы водителем-экспедитором (будет плюсом). Высокая ответственность. Клиентоориентированность. Пунктуальность. Инициативность. Наличие ИП.,Развозка товара клиентам (доставка клиентам по городу новых автозапчастей).,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101060676
Водитель с личным автомобилем на развозку,85000 - 85000 KZT,Астана,VIAKOM,31-05-2024,"Опыт вождения от 3-х лет. Пунктуальность, ответственность, вежливость.",,"{'id': 'flexible', 'name': 'Гибкий график'}",От 3 до 6 лет,Частичная занятость,https://hh.ru/vacancy/100839223
Водитель-экспедитор с личном автомобилем,400000 - 500000 KZT,Алматы,Shifa company,03-06-2024,,Обязанности: Реализация товара по маршруту.,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/101050847
Водитель,350000 - 500000 KZT,Астана,КазМетКор,15-05-2024,Ответственный. Неконфликтный. Коммуникабельный.,Howo. КАМАЗ. Перевозка. Погрузка.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/97422811
Водитель-Инкассатор,355000 KZT,Алматы,МиГ,03-06-2024,Опыт работы водитель-ИНКАССАТОР ОБЯЗАТЕЛЕН. Опыт службы в армии для военнообязааных. Опыт вождения автомобиля с механической коробкой передач.,Охрана ТМЦ. Перевозка денежных средств.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101118287
Водитель руководителя / водитель сотрудников,170000 KZT,Алматы,Центр градостроительного проекта,05-06-2024,Знание города. Знание русского языка.,"Возить руководителя компании. Возить сотрудников компании, по необходимости.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101347935
Водитель-дальнобойщик грузовой машины,,Алматы,TRANSSCANIA,31-05-2024,"Опыт работы на грузовых автомашинах не менее 10 лет. Ответственное отношение к работе. Честность, пунктуальность, порядочность, аккуратность. Навыки механика. ","Перевозки металлоконструкций, техники, контейнеров и других строительных грузов в основном по территории РК, КНР, Кыргызстан, Узбекистан, Таджикистан, Россия.","{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100825058
Водитель первого руководителя,,Алматы,Халык-Лизинг,03-06-2024,"Профессиональное вождение. Отличный ориентир по городу Алматы, знание города и области (без навигатора). Умение находить оптимальный маршрут в случае пробок...",,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101130876
