title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Водитель,200000 KZT,Усть-Каменогорск,Техмаркет,03-06-2024,Внимательность. Аккуратность.,Доставка заказов клиентам. Выполнение распоряжений руководителя.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98685085
Водитель вахтовки (Тюмень),112500 - 112500 RUR,Астана,Старвей Логистика,14-05-2024,Работа на технике не старше 3-х лет. — Водительское удостоверение категории ВСД. Опыт работы приветствуется.,Перевозка персонала на вахтовом автобусе.,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/98889886
"Водитель категории СЕ, Балхаш",380000 KZT,Балхаш,КДВ Групп,04-06-2024,Ответственное отношение к грузу и к машине. - Работа на короткое плечо. От Вас потребуется: - Опыт работы на ТС категории СЕ...,"Служба поддержки, консультирует водителей по любым вопросам в режиме 24/7. - Ремонт и обслуживание машин осуществляется на аккредитованных СТО за...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99521444
Кладовщик-водитель погрузчика,58000 RUR,Алматы,Возовоз,21-05-2024,"Права на управление автопогрузчиком. Желателен опыт работы водителем на погрузчике, но не обязателен. Надежность, высокая ответственность, моральная устойчивость. ","Обслуживание клиента в пункте приема-выдачи груза. Прием груза, консультация клиентов, замер, взвешивание. Оформление перемещения в базе 1С, подготовка...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/97191702
"Водитель самосвала (С), г. Пласт",100000 RUR,Лисаковск,Южуралзолото Группа Компаний,27-05-2024,"Знание устройства автомобиля. Водительское удостоверение категории ""С"" (HOWO). Опыт вождения. Без опыта работы - возможна стажировка.",Перевозка горной массы. Простой ремонт автотранспорта.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98773690
Водитель с личным автомобилем-универсал,250000 KZT,Алматы,"Deco interior, ИП",26-05-2024,"Личный автомобиль универсал (обязательно!). Год выпуска автомобиля желательно не ниже 2010 гг. Состояние автомобиля- технически хорошее, не требующее ремонта периодически...","Развозка рулонов с тканями, карнизов, готовых шторных изделий и т.д. - Развозка и сопровождение дизайнеров к заказчикам. - Доставка и отправка...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100229148
Водитель погрузчика,240000 KZT,Караганда,ЭТАЛОН ЛТД,20-05-2024,Ответственность. Наличие удостоверения подтверждающее квалификацию водителя автопогрузчика.,"Управление автопогрузчиком при погрузке, выгрузке, перемещении и укладке различных грузов.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99535260
Водитель-курьер на личном автомобиле,400000 - 700000 KZT,Астана,Magnum E-commerce Kazakhstan,21-05-2024,Знание города.,Доставка продуктов питания до двери клиента.,"{'id': 'shift', 'name': 'Сменный график'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/96973905
Водитель-экспедитор,230000 - 291000 KZT,Алматы,Семь морей-Алматы,13-05-2024,"Ответственность, коммуникабельность, порядочность. Отличное знание города. Права категории В,С, стаж вождения обязателен.","Развозка товара по городу, работа с документами.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98747290
Водитель-экспедитор,,Алматы,Global Wine and Spirits,13-05-2024,"Наличие личного автотранспорта ОБЯЗАТЕЛЬНО: Газель цельно-металлическая будка, Delica, Mersedes Sprinter, фургон Ford, Hyundai (грузовые шасси). Пунктуальность и аккуратность. ",Доставка товаров и документов клиентам компании. Материальная ответственность за перевозимый товар. Выполнение отдельных служебных поручений непосредственных руководителей.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98748867
