title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Менеджер по работе с клиентами,150000 - 500000 KZT,Алматы,AMANZHOL INTERNATIONAL,27-07-2023,"Опыт работы приветствуется. Знание языков - русский ( свободно), остальные приветстуются.","Продажа в сфере розничной торговли, консультация покупателя по вопросом. Ответственность, пунктуальность.",,Нет опыта,Полная занятость,https://hh.ru/vacancy/84141168
"Региональный менеджер направления Север (Астана, Кокшетау, Караганда, Павлодар, Петропавловск)",600000 - 800000 KZT,Астана,Global Beverages,09-08-2023,"Высшее образование. Опыт работы на позиции территориального менеджера. Знание 1С, Excel.","Заключение, пролонгация договоров по условиям сотрудничества с локальными сетями Ключевых клиентов согласно стратегии и задач компании. Постановка и контроль исполнения...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84804293
Менеджер по продажам металлопроката,200000 - 500000 KZT,Алматы,Промышленная Металлургия,26-07-2023,"Осознанное желание развиваться в активных продажах. Знание ПК, офисных программ и 1С, Битрикс 24, умение работать с электронными каталогами. ","Увеличение продаж в своем секторе. Поиск и привлечение новых клиентов (обработка входящих заявок, активный поиск клиентов, переговоры, заключение договоров). ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84055931
Менеджер по персоналу,450000 KZT,Алматы,ESQ (ЭСКью),10-08-2023,"Опыт работы на аналогичной должности от года. Знание 1С ЗУП 8.3. Энергичность, коммуникабельность, целеустремленность, стрессоустойчивость.","Ведением полного цикла кадрового делопроизводства (прием, увольнение, все виды отпусков, командировки и др.). Ведением штатного расписания. Разработкой локальных документов компании. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84912032
Администратор/Менеджер На Ресепшен,250000 - 300000 KZT,Астана,Prime Academy,09-08-2023,Опыт работы приветствуется. - Знания АМО СРМ. - Отличный опыт.,,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84794396
Project-manager в нефтегазовую сферу,500000 - 1000000 KZT,Алматы,"Caspian Contractors Trust,ТОО",11-08-2023,"Требования: опыт работы и составления бизнес-планов, желательно с финансовым уклоном. Описание и разработка бизнес-процессов, мониторинг их исполнения, участие...",,,Более 6 лет,Полная занятость,https://hh.ru/vacancy/84932821
Менеджер по продажам,200000 - 350000 KZT,Астана,Ирбис 2016,25-07-2023,Опыт в работы в продажах HoReCa желателен. Навыки ведения переговоров. Коммуникабельность. Умение работать в команде. Ответственность. Желание развиваться и много...,"Поиск потенциальных клиентов, выход в «поля». Ведение коммерческих переговоров с клиентами. Прием и обработка заказов, оформление необходимых документов. ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83974305
Личный помощник руководителя/закупщик/офис менеджер,,Астана,Florence,10-08-2023,Наличие собственного ноутбука. Быть внимательным.,"Личные, а также по работе поручения руководителя. Закупка материалов для оформления, прием закупленных материалов с монтажниками. Поиск нового декора. ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/84916767
Менеджер по продажам (межкомнатные двери),200000 - 500000 KZT,Астана,ASG Контракт,18-07-2023,Опыт работы в продажах. Знание техник продаж. Умение адаптироваться в любых ситуациях. Умение работать с возражениями. Умение доводить сделку до...,Полноценная работа с клиентом от установки контакта до профессионального закрытия сделки. Работа с дизайнерами.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83616634
Менеджер по продажам ПВХ-окон,,Алматы,Plastok,24-07-2023,"Владение навыками переговоров и продаж, приветствуется опыт работы в оконной/ смежной отрасли. Грамотная устная и письменная речь. Знание русского и...",Своевременный прием и обработка поступающих заявок. Выявление потребностей и консультация по конструкциям ПВХ и алюминий по телефону и в торговом...,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83912052
Главный менеджер Аппарата (по вопросам закупок),,Астана,«Национальная компания «Kazakh Tourism»,11-08-2023,"Высшее юридическое / экономическое образование. - Стаж практической работы в профессиональной сфере не менее 5 лет, Опыт работы в закупках не менее...","Выполнять приказы и поручения руководства. Формировать годовой план закупок товаров, работ и услуг. Согласовывать конкурсную документацию для потенциальных поставщиков товаров...",,Более 6 лет,Полная занятость,https://hh.ru/vacancy/84941895
Менеджер по туризму,200000 - 2000000 KZT,Алматы,today.travel UK,26-07-2023,"Мы помогаем людям воплощать их желания через путешествия! Что нужно уметь: — Кайфовать от работы и продаж, расти и быть успешным. — ","Находить ""ключик"" к сердцу каждого клиента. — Допускает три ошибки в собственном имени. Условия работы - сказочные: — Ежемесячные Тим-билдинги с командой.",,Нет опыта,Полная занятость,https://hh.ru/vacancy/83563705
