title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Юрист,250000 KZT,Алматы,DVERI CITY,18-06-2024,"Ораторское искусство. Навыки письма. Умение работать с клиентом. Умение искать и анализировать, применять логику. Изучение судебной практики. Технологии. ",Актуализация правовой базы компании. Составление договоров и сопровождение сделок. Работа с внутренним документооборотом. Визирование документов. Управление рисками компании на уровне...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100784934
Senior Lawyer,,Алматы,Universal Еnergy (Qazaqstan) (Юниверсал Энерджи (Казахстан)),17-06-2024,Work experience: at least 5 years. Extensive experience in corporate law (with the focus on LLP’s). Experience in financing...,"Legal support of the company’s activity: preparation of foundation documents, changing charter capital amount, review of the various contracts...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101337659
Юрист,400000 - 450000 KZT,Астана,QSM Engineering,28-05-2024,опыт в юридической сфере не менее 3 лет. - высшее юридическое образование. - навыки в корпоративном и гражданском праве. - опытный пользователь ПК. - ,"ведение юридических вопросов компании, связанных заключением, сопровождением договоров. - рассмотрение и составление необходимых для деятельности договоров, соглашений, заключения по ним, проверка...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100494301
"Lawyer (Data Privacy, Corporate), Office of General Counsel",,Астана,KPMG,28-05-2024,"Degree in Law from a leading Kazakhstani or foreign university. At least 1 – 3 years’ experience, preferable with an multinational...","Corporate matters. Data Privacy issues. Legal compliance. Reviewing/preparing/updating contracts, agreements and other legal documents. Legal advice on differed...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98209645
Ведущий юрист в группу компаний,350000 - 400000 KZT,Алматы,ТМ РосКазДрев РКД,22-05-2024,Высшие профильное юридическое образование(гражданское право). Опыт работы более 6 лет. Уверенный пользователь ПК (Microsoft office. Word. Excel.PowerPoint.а так...,"Полное юридическое сопровождение нескольких Компаний (ведение работы отдела кадров ,трудовые договора,приказы,оформление в электронной базе hr.enbek.kz и т.п...","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/99794867
Юрист,,Астана,Сулейменова Лейла,23-05-2024,Опыт работы на аналогичной должности не менее 5 лет. Знание английского языка не ниже уровня Upper Intermediate. Опыт работы юридического...,"Правовая экспертиза проектов приказов, распоряжений директора компании. Правовая экспертиза проектов договоров/дополнительных соглашений, заключаемых компанией, правовая экспертиза исходящей корреспонденции. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99943369
Старший юрист,400000 KZT,Алматы,PROFUSION PROJECTS,17-06-2024,"Желательно наличие опыта работы в крупных казахстанских компаниях, либо в международных компаниях, либо в ведущих юридических фирмах Казахстана. ",Подготовка корпоративных документов для клиентов. Претензионно-исковая работа. Договорная работа. Устное и письменное юридическое консультирование клиентов. Подготовка юридических заключений. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100720134
Юрист,300000 - 400000 KZT,Алматы,КомплектСтройДеталь,16-06-2024,С аналогичным опытом работы от 3 лет. С высшим юридическим образованием. Отличное знание Законодательства РК.,"Юридическое сопровождение деятельности компании в сфере строительства. Претензионно-исковая работа, представление интересов компании в судах. Работа с договорами.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101471876
Юрисконсульт,191729 - 200000 KZT,Семей,Каражыра,23-05-2024,"Высшее юридическое образование. Опыт работы юристом в коммерческих организациях от 01 года. Исполнительность, внимательность, ответственность, стрессоустойчивость.",Составление и правовая экспертиза документов. Представление интересов компании в гос. органах и суде. Оформление земельных участков и другой недвижимости. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99959557
Юрист,,Алматы,МФО Credit365 Kazakhstan (Кредит 365 Казахстан),16-06-2024,"Образование высшее юридическое. Знание закона о ТО и ДО, Закона о микрофинансовой деятельности, ГПК РК, Закона об исполнительном производстве и...","Осуществляет претензионо-исковую работу. Разрабатывает процессуальные документы для рассмотрения/решения судебных дел. Разрабатывает внутренние документы компании, проекты договоров, писем и...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/101631258
